n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	12
16	10
17	4
18	0
19	1
20	3
21	4
22	4
23	9
24	15
25	11
26	23
27	22
28	43
29	35
30	34
31	55
32	86
33	81
34	86
35	104
36	126
37	132
38	137
39	137
40	144
41	149
42	137
43	182
44	147
45	183
46	195
47	184
48	189
49	222
50	209
51	233
52	211
53	215
54	219
55	248
56	270
57	260
58	266
59	258
60	301
61	329
62	335
63	349
64	377
65	476
66	698
67	1072
68	1616
69	2146
70	2693
71	2778
72	2609
73	2147
74	1910
75	1833
76	1935
77	2068
78	2393
79	3408
80	5271
81	7647
82	9577
83	10305
84	9644
85	7975
86	6212
87	4927
88	4324
89	3756
90	3215
91	2672
92	2118
93	1699
94	1465
95	1201
96	997
97	831
98	650
99	535
100	374
101	322
102	260
103	256
104	202
105	234
106	164
107	152
108	134
109	116
110	132
111	109
112	112
113	72
114	72
115	95
116	86
117	93
118	106
119	106
120	103
121	121
122	92
123	114
124	123
125	133
126	137
127	154
128	124
129	137
130	115
131	114
132	117
133	118
134	97
135	85
136	93
137	76
138	64
139	66
140	62
141	50
142	46
143	51
144	52
145	33
146	48
147	41
148	45
149	38
150	47
151	39
152	43
153	40
154	43
155	38
156	33
157	37
158	34
159	27
160	40
161	38
162	25
163	30
164	28
165	31
166	30
167	24
168	24
169	29
170	16
171	13
172	15
173	16
174	13
175	9
176	10
177	11
178	9
179	8
180	3
181	9
182	6
183	2
184	3
185	7
186	5
187	2
188	5
189	3
190	3
191	8
192	2
193	2
194	3
195	2
196	6
197	4
198	3
199	4
200	1
201	2
202	2
203	0
204	2
205	6
206	2
207	0
208	3
209	2
210	2
211	1
212	1
213	3
214	2
215	2
216	4
217	4
218	0
219	1
220	2
221	0
222	1
223	5
224	2
225	6
226	4
227	1
228	4
229	1
230	4
231	3
232	0
233	1
234	2
235	0
236	1
237	0
238	0
239	2
240	0
241	0
242	1
243	0
244	1
245	0
246	0
247	3
248	1
249	1
250	2
251	1
252	0
253	0
254	1
255	0
256	2
257	2
258	2
259	0
260	1
261	0
262	1
263	0
264	0
265	0
266	1
267	1
268	1
269	0
270	0
271	0
272	2
273	1
274	1
275	1
276	3
277	2
278	2
279	0
280	1
281	0
282	1
283	3
284	0
285	0
286	0
287	0
288	1
289	1
290	0
291	0
292	0
293	1
294	0
295	0
296	1
297	0
298	1
299	0
300	0
301	0
302	1
303	1
304	1
305	0
306	1
307	0
308	0
309	2
310	0
311	1
312	0
313	0
314	0
315	0
316	0
317	0
318	1
319	0
320	0
321	0
322	0
323	1
324	0
325	0
326	0
327	1
328	0
329	1
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	1
338	0
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	0
347	0
348	1
349	1
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	1
359	1
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	1
382	1
383	0
384	0
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
