a	I1
5.459	7.8
5.454	7.7
5.449	7.7
5.443	7.7
5.438	7.7
5.433	7.7
5.428	7.7
5.422	7.7
5.417	7.7
5.412	7.7
5.406	7.7
5.401	7.7
5.396	7.7
5.390	7.7
5.385	8.0
5.380	8.0
5.375	8.0
5.369	8.0
5.364	8.0
5.359	8.0
5.353	8.1
5.348	8.1
5.343	8.1
5.337	8.0
5.332	8.0
5.327	8.0
5.322	8.0
5.316	8.0
5.311	8.0
5.306	8.1
5.300	8.1
5.295	8.1
5.290	8.1
5.284	8.1
5.279	8.1
5.274	8.1
5.269	8.1
5.263	8.1
5.258	8.1
5.253	8.1
5.247	8.1
5.242	8.1
5.237	8.1
5.231	8.1
5.226	8.1
5.221	8.1
5.216	8.2
5.210	8.2
5.205	8.2
5.200	8.1
5.194	8.1
5.189	8.1
5.184	8.1
5.178	8.1
5.173	8.1
5.168	8.1
5.162	8.1
5.157	8.1
5.152	8.1
5.147	8.1
5.141	8.1
5.136	8.1
5.131	8.1
5.125	8.1
5.120	8.2
5.115	8.1
5.109	8.2
5.104	8.3
5.099	8.7
5.094	8.9
5.088	9.3
5.083	9.7
5.078	9.7
5.072	9.7
5.067	9.7
5.062	9.7
5.056	9.7
5.051	9.6
5.046	9.6
5.040	9.3
5.035	9.3
5.030	9.3
5.025	9.6
5.019	9.8
5.014	10.2
5.009	10.6
5.003	10.9
4.998	10.9
4.993	10.9
4.987	10.9
4.982	10.9
4.977	10.5
4.971	10.1
4.966	9.7
4.961	9.7
4.956	9.7
4.950	10.1
4.945	10.5
4.940	11.3
4.934	12.0
4.929	12.7
4.924	13.1
4.918	13.4
4.913	13.4
4.908	13.2
4.902	12.7
4.897	11.9
4.892	11.4
4.887	11.0
4.881	10.8
4.876	10.9
4.871	11.7
4.865	12.5
4.860	13.5
4.855	14.4
4.849	15.2
4.844	15.6
4.839	15.6
4.833	15.6
4.828	15.2
4.823	14.4
4.818	13.3
4.812	12.4
4.807	11.8
4.802	11.7
4.796	12.2
4.791	13.3
4.786	14.6
4.780	16.4
4.775	17.2
4.770	18.1
4.764	18.5
4.759	18.5
4.754	18.4
4.748	17.9
4.743	16.5
4.738	15.0
4.733	13.7
4.727	13.0
4.722	12.9
4.717	13.4
4.711	14.6
4.706	16.2
4.701	17.7
4.695	19.3
4.690	21.0
4.685	22.0
4.679	22.0
4.674	21.6
4.669	20.8
4.663	19.2
4.658	17.2
4.653	15.5
4.648	14.3
4.642	13.8
4.637	14.2
4.632	15.6
4.626	17.6
4.621	19.6
4.616	21.6
4.610	23.6
4.605	25.4
4.600	25.8
4.594	25.3
4.589	24.6
4.584	23.0
4.578	20.5
4.573	18.2
4.568	16.4
4.563	15.4
4.557	15.3
4.552	16.2
4.547	18.2
4.541	20.6
4.536	23.0
4.531	25.2
4.525	27.8
4.520	29.2
4.515	29.2
4.509	28.4
4.504	27.0
4.499	24.7
4.493	21.6
4.488	18.8
4.483	16.8
4.478	15.8
4.472	16.0
4.467	17.3
4.462	20.1
4.456	23.1
4.451	26.0
4.446	28.7
4.440	33.0
4.435	33.9
4.430	33.3
4.424	32.2
4.419	30.8
4.414	28.0
4.408	24.4
4.403	20.9
4.398	18.6
4.392	17.4
4.387	17.4
4.382	18.7
4.377	21.2
4.371	24.4
4.366	27.6
4.361	30.2
4.355	33.1
4.350	35.4
4.345	35.9
4.339	35.2
4.334	33.9
4.329	31.5
4.323	27.6
4.318	23.6
4.313	20.5
4.307	18.6
4.302	18.0
4.297	18.8
4.291	21.0
4.286	24.3
4.281	27.9
4.275	31.3
4.270	34.5
4.265	37.6
4.260	39.1
4.254	38.6
4.249	37.4
4.244	35.5
4.238	32.4
4.233	28.1
4.228	24.1
4.222	21.0
4.217	19.2
4.212	18.8
4.206	20.0
4.201	22.5
4.196	26.1
4.190	30.0
4.185	33.7
4.180	37.3
4.174	40.1
4.169	41.6
4.164	41.4
4.158	40.1
4.153	38.1
4.148	34.6
4.143	30.1
4.137	25.9
4.132	22.5
4.127	20.4
4.121	19.7
4.116	20.6
4.111	23.3
4.105	26.8
4.100	32.4
4.095	35.2
4.089	38.4
4.084	40.9
4.079	42.3
4.073	42.2
4.068	41.2
4.063	39.6
4.057	37.2
4.052	33.3
4.047	28.9
4.041	25.0
4.036	22.2
4.031	20.6
4.025	20.3
4.020	22.0
4.015	25.4
4.009	29.1
4.004	33.0
3.999	37.2
3.994	41.4
3.988	44.4
3.983	45.4
3.978	45.0
3.972	44.2
3.967	42.3
3.962	38.9
3.956	34.2
3.951	29.3
3.946	25.4
3.940	22.5
3.935	20.9
3.930	20.6
3.924	22.4
3.919	26.0
3.914	30.1
3.908	33.7
3.903	37.6
3.898	42.3
3.892	45.8
3.887	47.0
3.882	46.3
3.876	45.6
3.871	44.4
3.866	41.3
3.860	36.8
3.855	31.9
3.850	27.5
3.844	24.2
3.839	21.8
3.834	20.7
3.829	21.4
3.823	24.2
3.818	28.4
3.813	32.4
3.807	35.8
3.802	40.0
3.797	45.1
3.791	48.1
3.786	48.2
3.781	47.0
3.775	46.4
3.770	45.2
3.765	41.8
3.759	35.3
3.754	30.9
3.749	26.9
3.743	23.8
3.738	21.6
3.733	20.5
3.727	21.0
3.722	23.8
3.717	28.3
3.711	32.5
3.706	35.7
3.701	39.4
3.695	44.8
3.690	49.0
3.685	49.7
3.679	48.4
3.674	47.5
3.669	47.0
3.663	44.6
3.658	40.1
3.653	34.7
3.647	29.9
3.642	26.2
3.637	23.3
3.632	21.4
3.626	20.9
3.621	22.0
3.616	25.5
3.610	30.3
3.605	34.1
3.600	36.9
3.594	40.5
3.589	45.8
3.584	49.7
3.578	50.0
3.573	48.4
3.568	47.3
3.562	46.7
3.557	44.2
3.552	39.5
3.546	34.3
3.541	29.5
3.536	25.9
3.530	23.2
3.525	21.4
3.520	20.8
3.514	21.4
3.509	24.0
3.504	28.7
3.498	33.2
3.493	36.4
3.488	39.2
3.482	43.8
3.477	49.0
3.472	51.4
3.466	50.4
3.461	48.4
3.456	48.0
3.450	47.6
3.445	44.8
3.440	40.1
3.434	34.9
3.429	30.2
3.424	26.4
3.418	22.1
3.413	21.0
3.408	20.6
3.402	21.1
3.397	23.3
3.392	27.4
3.386	32.0
3.381	35.2
3.376	38.1
3.370	42.3
3.365	48.1
3.360	51.8
3.354	51.7
3.349	49.8
3.344	48.8
3.338	48.9
3.333	47.6
3.328	43.7
3.322	38.6
3.317	33.5
3.312	29.2
3.306	25.7
3.301	23.3
3.296	21.7
3.291	21.2
3.285	21.8
3.280	24.1
3.275	28.5
3.269	33.2
3.264	36.3
3.259	38.7
3.253	42.2
3.248	47.7
3.243	51.8
3.237	52.8
3.232	51.1
3.227	49.6
3.221	49.5
3.216	48.8
3.211	45.8
3.205	41.2
3.200	36.4
3.195	31.9
3.189	27.9
3.184	25.0
3.179	23.0
3.173	21.9
3.168	21.5
3.163	22.3
3.157	25.0
3.152	29.5
3.147	33.8
3.141	36.9
3.136	39.2
3.131	42.9
3.125	48.1
3.120	52.0
3.115	53.2
3.109	51.8
3.104	50.5
3.099	50.1
3.093	49.8
3.088	47.8
3.083	44.0
3.077	37.7
3.072	33.9
3.067	30.1
3.061	26.9
3.056	24.4
3.051	22.7
3.045	21.8
3.040	21.8
3.035	23.0
3.029	25.9
3.024	30.3
3.019	34.2
3.013	37.0
3.008	39.3
3.003	42.8
2.997	47.8
2.992	52.0
2.987	53.7
2.981	53.1
2.976	51.6
2.971	51.0
2.965	51.0
2.960	49.6
2.955	46.6
