a	I1
3.338	15.2
3.333	12.8
3.328	10.8
3.322	9.2
3.317	8.0
3.312	7.2
3.306	6.8
3.301	6.8
3.296	6.8
3.291	6.8
3.285	7.2
3.280	8.0
3.275	9.2
3.269	11.6
3.264	16.4
3.259	24.8
3.253	32.8
3.248	36.0
3.243	34.4
3.237	30.0
3.232	25.2
3.227	20.8
3.221	16.8
3.216	14.0
3.211	11.6
3.205	10.0
3.200	8.8
3.195	8.0
3.189	7.2
3.184	6.8
3.179	6.8
3.173	6.8
3.168	6.8
3.163	7.2
3.157	8.0
3.152	9.6
3.147	12.0
3.141	17.2
3.136	25.6
3.131	33.6
3.125	36.8
3.120	35.6
3.115	31.6
3.109	26.8
3.104	22.0
3.099	18.4
3.093	15.2
3.088	12.8
3.083	10.8
3.077	8.8
3.072	8.0
3.067	7.6
3.061	7.2
3.056	6.8
3.051	6.8
3.045	6.8
3.040	7.2
3.035	7.6
3.029	8.4
3.024	9.6
3.019	12.4
3.013	17.2
3.008	25.2
3.003	32.8
2.997	36.4
2.992	36.0
2.987	33.2
2.981	28.8
2.976	24.4
2.971	20.4
2.965	16.8
2.960	14.0
2.955	12.0
2.949	10.4
2.944	9.2
2.939	8.4
2.933	7.6
2.928	7.2
2.923	6.8
2.917	6.8
2.912	6.8
2.907	7.2
2.901	7.6
2.896	8.4
2.891	9.6
2.885	12.0
2.880	16.4
2.875	23.2
2.869	30.4
2.864	35.2
2.859	36.4
2.853	34.8
2.848	31.2
2.843	27.2
2.837	23.2
2.832	19.6
2.827	16.4
2.821	13.6
2.816	11.6
2.811	10.4
2.805	9.2
2.800	8.4
2.795	7.6
2.789	7.2
2.784	7.2
2.779	7.2
2.773	7.2
2.768	7.2
2.763	7.6
2.757	8.4
2.752	9.2
2.747	10.8
2.741	14.0
2.736	20.8
2.731	26.4
2.725	31.6
2.720	34.4
2.715	35.6
2.709	34.4
2.704	31.6
2.699	27.6
2.693	24.0
2.688	20.4
2.683	17.2
2.677	14.4
2.672	12.4
2.667	10.8
2.661	9.6
2.656	8.8
2.651	8.0
2.645	7.6
2.640	7.2
2.635	7.2
2.629	7.2
2.624	7.2
2.619	7.2
