a	I1
5.459	7.9
5.454	7.9
5.449	7.9
5.443	7.9
5.438	7.9
5.433	7.9
5.428	7.8
5.422	7.8
5.417	7.8
5.412	7.8
5.406	7.8
5.401	7.8
5.396	7.8
5.390	7.8
5.385	8.0
5.380	8.0
5.375	8.0
5.369	8.1
5.364	8.1
5.359	8.1
5.353	8.1
5.348	8.1
5.343	8.1
5.337	8.0
5.332	8.0
5.327	8.0
5.322	8.0
5.316	8.0
5.311	8.1
5.306	8.1
5.300	8.1
5.295	8.1
5.290	8.1
5.284	8.1
5.279	8.1
5.274	8.1
5.269	8.1
5.263	8.1
5.258	8.1
5.253	8.1
5.247	8.1
5.242	8.1
5.237	8.2
5.231	8.2
5.226	8.3
5.221	8.3
5.216	8.3
5.210	8.3
5.205	8.3
5.200	8.1
5.194	8.1
5.189	8.1
5.184	8.1
5.178	8.0
5.173	8.1
5.168	8.0
5.162	8.0
5.157	8.1
5.152	8.1
5.147	8.1
5.141	8.1
5.136	8.1
5.131	8.1
5.125	8.1
5.120	8.3
5.115	8.2
5.109	8.2
5.104	8.2
5.099	8.6
5.094	8.9
5.088	9.3
5.083	9.7
5.078	9.8
5.072	9.9
5.067	9.9
5.062	9.9
5.056	9.8
5.051	9.7
5.046	9.5
5.040	9.2
5.035	9.2
5.030	9.2
5.025	9.4
5.019	9.7
5.014	10.1
5.009	10.5
5.003	10.9
4.998	10.9
4.993	10.9
4.987	10.9
4.982	10.8
4.977	10.4
4.971	10.0
4.966	9.7
4.961	9.6
4.956	9.6
4.950	10.0
4.945	10.5
4.940	11.3
4.934	12.1
4.929	12.8
4.924	13.3
4.918	13.5
4.913	13.4
4.908	13.1
4.902	12.5
4.897	11.7
4.892	11.1
4.887	10.8
4.881	10.7
4.876	10.9
4.871	11.4
4.865	12.2
4.860	13.3
4.855	14.5
4.849	15.3
4.844	15.8
4.839	15.8
4.833	15.7
4.828	15.1
4.823	14.1
4.818	13.0
4.812	12.1
4.807	11.7
4.802	11.4
4.796	11.7
4.791	12.6
4.786	14.1
4.780	16.4
4.775	17.4
4.770	18.4
4.764	18.9
4.759	19.0
4.754	18.6
4.748	17.7
4.743	16.2
4.738	14.6
4.733	13.5
4.727	12.7
4.722	12.5
4.717	12.9
4.711	13.9
4.706	15.5
4.701	17.4
4.695	19.5
4.690	21.3
4.685	22.5
4.679	22.6
4.674	22.2
4.669	20.9
