a	I1
5.459	7.6
5.454	7.5
5.449	7.6
5.443	7.6
5.438	7.6
5.433	7.6
5.428	7.6
5.422	7.6
5.417	7.6
5.412	7.5
5.406	7.5
5.401	7.5
5.396	7.5
5.390	7.5
5.385	7.7
5.380	7.7
5.375	7.7
5.369	7.7
5.364	7.7
5.359	7.7
5.353	7.7
5.348	7.7
5.343	7.7
5.337	7.7
5.332	7.7
5.327	7.7
5.322	7.7
5.316	7.7
5.311	7.7
5.306	7.9
5.300	7.9
5.295	7.9
5.290	7.9
5.284	7.9
5.279	7.9
5.274	7.9
5.269	7.9
5.263	7.9
5.258	7.9
5.253	7.8
5.247	7.8
5.242	7.9
5.237	8.0
5.231	8.1
5.226	8.1
5.221	8.1
5.216	8.1
5.210	8.1
5.205	8.1
5.200	8.0
5.194	8.0
5.189	7.9
5.184	7.9
5.178	7.7
5.173	7.7
5.168	7.7
5.162	7.7
5.157	7.7
5.152	7.7
5.147	7.7
5.141	7.7
5.136	7.7
5.131	7.7
5.125	7.7
5.120	8.0
5.115	8.0
5.109	8.0
5.104	8.1
5.099	8.1
5.094	8.5
5.088	8.9
5.083	9.2
5.078	9.5
5.072	9.5
5.067	9.5
5.062	9.3
5.056	9.1
5.051	8.9
5.046	8.8
5.040	8.7
5.035	8.6
5.030	8.6
5.025	8.8
5.019	9.1
5.014	9.5
5.009	9.9
5.003	10.3
4.998	10.4
4.993	10.5
4.987	10.2
4.982	9.8
4.977	9.5
4.971	9.1
4.966	8.9
4.961	8.9
4.956	8.9
4.950	9.2
4.945	9.6
4.940	10.3
4.934	10.9
4.929	11.7
4.924	12.3
4.918	12.4
4.913	12.4
4.908	11.9
4.902	11.2
4.897	10.5
4.892	10.1
4.887	9.9
4.881	9.8
4.876	9.8
4.871	10.2
4.865	10.9
4.860	11.8
4.855	13.0
4.849	14.0
4.844	14.5
4.839	14.6
4.833	14.2
4.828	13.4
4.823	12.4
4.818	11.6
4.812	10.9
4.807	10.5
4.802	10.4
4.796	10.7
4.791	11.2
4.786	12.3
4.780	14.4
4.775	15.7
4.770	16.8
4.764	17.3
4.759	17.4
4.754	16.7
4.748	15.5
4.743	14.0
4.738	12.7
4.733	11.9
4.727	11.3
4.722	11.2
4.717	11.2
4.711	11.9
4.706	13.4
4.701	15.2
4.695	17.3
4.690	19.3
4.685	20.5
4.679	20.6
4.674	19.8
4.669	18.1
4.663	16.1
4.658	14.3
4.653	12.9
4.648	12.1
4.642	11.5
4.637	11.7
4.632	12.4
4.626	14.0
4.621	16.3
4.616	19.0
4.610	21.5
4.605	23.3
4.600	23.8
4.594	23.4
4.589	21.6
4.584	19.1
4.578	16.7
4.573	14.7
4.568	13.5
4.563	12.8
4.557	12.6
4.552	13.0
4.547	14.3
4.541	16.4
4.536	19.3
4.531	22.3
4.525	25.3
4.520	26.9
4.515	27.1
4.509	25.9
4.504	23.3
4.499	20.1
4.493	17.3
4.488	15.2
4.483	13.7
4.478	13.0
4.472	12.9
4.467	13.7
4.462	15.5
4.456	18.1
4.451	21.6
4.446	25.2
4.440	30.4
4.435	31.3
4.430	30.9
4.424	29.3
4.419	26.4
4.414	22.5
4.408	19.2
4.403	16.8
4.398	15.0
4.392	14.0
4.387	13.7
4.382	14.3
4.377	15.9
4.371	18.7
4.366	22.3
4.361	26.0
4.355	29.5
4.350	32.3
4.345	33.1
4.339	32.1
4.334	29.3
4.329	25.3
4.323	21.5
4.318	18.4
4.313	16.2
4.307	14.9
4.302	14.4
4.297	14.5
4.291	15.7
4.286	18.1
4.281	21.7
4.275	26.1
4.270	30.4
4.265	33.9
