a	I1
3.338	44.7
3.333	45.5
3.328	43.9
3.322	40.0
3.317	35.2
3.312	30.8
3.306	27.1
3.301	24.6
3.296	22.9
3.291	22.7
3.285	24.3
3.280	28.4
3.275	32.6
3.269	35.3
3.264	36.5
3.259	37.7
3.253	41.3
3.248	46.8
3.243	50.8
3.237	50.9
3.232	48.4
3.227	45.8
3.221	45.1
3.216	45.8
3.211	45.0
3.205	42.2
3.200	38.0
3.195	33.6
3.189	29.5
3.184	26.5
3.179	24.3
3.173	23.1
3.168	23.3
3.163	25.5
3.157	29.5
3.152	33.5
3.147	35.9
3.141	37.1
3.136	38.4
3.131	41.9
3.125	47.1
3.120	50.9
3.115	51.4
3.109	49.4
3.104	46.7
3.099	45.7
3.093	46.3
3.088	46.3
3.083	44.4
3.077	39.9
3.072	36.1
3.067	32.1
3.061	28.5
3.056	25.8
3.051	24.0
3.045	23.2
3.040	23.6
3.035	26.3
3.029	30.4
3.024	33.9
3.019	36.1
3.013	37.3
3.008	38.7
3.003	42.0
2.997	46.9
2.992	50.8
2.987	52.0
2.981	50.8
2.976	48.5
2.971	46.9
2.965	46.9
2.960	47.2
2.955	46.0
2.949	43.3
2.944	39.6
2.939	35.6
2.933	31.7
2.928	28.4
2.923	25.9
2.917	24.3
2.912	23.5
2.907	24.3
2.901	26.7
2.896	30.4
2.891	33.5
2.885	35.7
2.880	36.9
2.875	38.2
2.869	40.8
2.864	45.2
2.859	49.4
2.853	51.6
2.848	51.4
2.843	49.9
2.837	48.0
2.832	47.1
2.827	47.3
2.821	47.1
2.816	45.6
2.811	42.9
2.805	39.3
2.800	35.5
2.795	31.9
2.789	28.8
2.784	26.4
2.779	24.8
2.773	23.9
2.768	24.1
2.763	26.1
2.757	29.2
2.752	32.4
2.747	34.9
2.741	36.5
2.736	38.3
2.731	39.5
2.725	42.2
2.720	46.0
2.715	49.5
2.709	51.6
2.704	51.9
2.699	50.7
2.693	49.3
2.688	48.4
2.683	48.1
2.677	47.7
2.672	45.8
2.667	43.2
2.661	40.1
2.656	36.9
2.651	33.6
2.645	30.6
2.640	27.9
2.635	25.8
2.629	24.5
2.624	24.0
2.619	24.5
2.613	26.5
2.608	29.3
2.602	32.1
2.597	34.5
2.592	36.2
2.586	37.5
2.581	39.1
2.576	41.7
2.570	45.4
2.565	49.0
2.560	51.4
2.554	52.3
2.549	51.9
2.544	50.7
2.538	49.4
2.533	48.6
2.528	48.5
2.522	48.0
2.517	46.7
2.512	44.6
2.506	41.8
2.501	38.7
2.496	35.4
2.490	32.3
2.485	29.5
2.480	27.3
2.474	25.6
2.469	24.6
2.464	24.3
2.458	25.1
2.453	27.1
2.448	29.8
2.442	32.5
2.437	34.7
2.432	36.4
