a	I
1.671	21.0
1.668	21.1
1.665	21.1
1.663	21.1
1.660	21.0
1.657	21.1
1.655	21.1
1.652	21.1
1.649	21.1
1.647	21.1
1.644	21.1
1.641	21.1
1.639	21.1
1.636	21.1
1.633	21.1
1.631	21.1
1.628	21.2
1.625	21.1
1.623	21.1
1.620	21.1
1.617	21.2
1.615	21.2
1.612	21.2
1.609	21.2
1.607	21.2
1.604	21.2
1.601	21.2
1.599	21.2
1.596	21.2
1.593	21.2
1.591	21.3
1.588	21.2
1.585	21.2
1.582	21.2
1.580	21.2
1.577	21.2
1.574	21.2
1.572	21.2
1.569	21.3
1.566	21.2
1.564	21.2
1.561	21.2
1.558	21.2
1.556	21.2
1.553	21.3
1.550	21.3
1.548	21.2
1.545	21.2
1.542	21.3
1.540	21.2
1.537	21.2
1.534	21.3
1.532	21.3
1.529	21.3
1.526	21.2
1.524	21.3
1.521	21.2
1.518	21.2
1.516	21.3
1.513	21.3
1.510	21.3
1.508	21.3
1.505	21.3
1.502	21.3
1.500	21.3
1.497	21.3
1.494	21.3
1.492	21.3
1.489	21.3
1.486	21.3
1.484	21.3
1.481	21.3
1.478	21.3
1.476	21.3
1.473	21.3
1.470	21.3
1.468	21.3
1.465	21.2
1.462	21.3
1.460	21.3
1.457	21.3
1.454	21.3
1.452	21.3
1.449	21.3
1.446	21.2
1.444	21.2
1.441	21.3
1.438	21.3
1.436	21.3
1.433	21.3
1.430	21.3
1.428	21.3
1.425	21.3
1.422	21.3
1.419	21.3
1.417	21.3
1.414	21.3
1.411	21.3
1.409	21.3
1.406	21.3
1.403	21.3
1.401	21.4
1.398	21.4
1.395	21.4
1.393	21.4
1.390	21.4
1.387	21.4
1.385	21.4
1.382	21.4
1.379	21.4
1.377	21.4
1.374	21.4
1.371	21.4
1.369	21.5
1.366	21.5
1.363	21.5
1.361	21.5
1.358	21.5
1.355	21.5
1.353	21.5
1.350	21.5
1.347	21.5
1.345	21.5
1.342	21.4
1.339	21.4
1.337	21.4
1.334	21.5
1.331	21.4
1.329	21.4
1.326	21.4
1.323	21.4
1.321	21.4
1.318	21.4
1.315	21.4
1.313	21.4
1.310	21.4
1.307	21.4
1.305	21.3
1.302	21.4
1.299	21.4
1.297	21.4
1.294	21.4
1.291	21.4
1.289	21.4
1.286	21.4
1.283	21.4
1.281	21.5
1.278	21.5
1.275	21.5
1.273	21.4
1.270	21.4
1.267	21.4
1.265	21.4
1.262	21.4
1.259	21.5
1.256	21.5
1.254	21.4
1.251	21.4
1.248	21.4
1.246	21.4
1.243	21.4
1.240	21.5
1.238	21.5
1.235	21.5
1.232	21.5
1.230	21.4
1.227	21.4
1.224	21.5
1.222	21.5
1.219	21.5
1.216	21.5
1.214	21.5
1.211	21.5
1.208	21.5
1.206	21.5
1.203	21.5
1.200	21.5
1.198	21.5
1.195	21.5
1.192	21.5
1.190	21.5
1.187	21.5
1.184	21.5
1.182	21.5
1.179	21.6
1.176	21.6
1.174	21.5
1.171	21.5
1.168	21.5
1.166	21.6
1.163	21.6
1.160	21.6
1.158	21.6
1.155	21.6
1.152	21.6
1.150	21.6
1.147	21.6
1.144	21.6
1.142	21.6
1.139	21.6
1.136	21.6
1.134	21.6
1.131	21.6
1.128	21.6
1.126	21.6
1.123	21.6
1.120	21.6
1.118	21.6
1.115	21.6
1.112	21.6
1.109	21.6
1.107	21.6
1.104	21.6
1.101	21.6
1.099	21.6
1.096	21.6
