a	I
-1.719	23.3
-1.721	23.2
-1.724	23.2
-1.727	23.2
-1.729	23.3
-1.732	23.2
-1.735	23.2
-1.737	23.2
-1.740	23.2
-1.743	23.2
-1.745	23.2
-1.748	23.2
-1.751	23.2
-1.753	23.2
-1.756	23.2
-1.759	23.2
-1.761	23.2
-1.764	23.2
-1.767	23.2
-1.769	23.2
-1.772	23.2
-1.775	23.2
-1.778	23.2
-1.780	23.2
-1.783	23.2
-1.786	23.2
-1.788	23.2
-1.791	23.2
-1.794	23.2
-1.796	23.2
-1.799	23.2
-1.802	23.2
-1.804	23.2
-1.807	23.2
-1.810	23.2
-1.812	23.2
-1.815	23.2
-1.818	23.2
-1.820	23.2
-1.823	23.2
-1.826	23.2
-1.828	23.2
-1.831	23.2
-1.834	23.2
-1.836	23.2
-1.839	23.2
-1.842	23.2
-1.844	23.2
-1.847	23.2
-1.850	23.2
-1.852	23.2
-1.855	23.2
-1.858	23.2
-1.860	23.2
-1.863	23.2
-1.866	23.2
-1.868	23.2
-1.871	23.2
-1.874	23.2
-1.876	23.2
-1.879	23.2
-1.882	23.2
-1.884	23.2
-1.887	23.2
-1.890	23.2
-1.892	23.2
-1.895	23.2
-1.898	23.2
-1.900	23.2
-1.903	23.2
-1.906	23.1
-1.908	23.2
-1.911	23.2
-1.914	23.2
-1.916	23.2
-1.919	23.2
-1.922	23.1
-1.924	23.1
-1.927	23.1
-1.930	23.1
-1.932	23.2
-1.935	23.2
-1.938	23.2
-1.940	23.2
-1.943	23.1
-1.946	23.1
-1.948	23.2
-1.951	23.1
-1.954	23.1
-1.956	23.1
-1.959	23.1
-1.962	23.1
-1.964	23.1
-1.967	23.1
-1.970	23.1
-1.972	23.1
-1.975	23.1
-1.978	23.1
-1.980	23.1
-1.983	23.1
-1.986	23.1
-1.989	23.1
-1.991	23.1
-1.994	23.1
-1.997	23.1
-1.999	23.1
-2.002	23.1
-2.005	23.1
-2.007	23.1
-2.010	23.1
-2.013	23.1
-2.015	23.1
-2.018	23.1
-2.021	23.1
-2.023	23.2
-2.026	23.2
-2.029	23.2
-2.031	23.2
-2.034	23.1
-2.037	23.2
-2.039	23.2
-2.042	23.2
-2.045	23.2
-2.047	23.2
-2.050	23.2
-2.053	23.2
-2.055	23.2
-2.058	23.2
-2.061	23.2
-2.063	23.2
-2.066	23.2
-2.069	23.2
-2.071	23.2
-2.074	23.2
-2.077	23.2
-2.079	23.2
-2.082	23.2
-2.085	23.2
-2.087	23.2
-2.090	23.2
-2.093	23.2
-2.095	23.2
-2.098	23.2
-2.101	23.2
-2.103	23.2
-2.106	23.2
-2.109	23.2
-2.111	23.2
-2.114	23.2
-2.117	23.2
-2.119	23.2
-2.122	23.2
-2.125	23.2
-2.127	23.2
-2.130	23.2
-2.133	23.2
-2.135	23.2
-2.138	23.2
-2.141	23.2
-2.143	23.2
-2.146	23.2
-2.149	23.2
-2.151	23.2
-2.154	23.2
-2.157	23.2
-2.159	23.2
-2.162	23.2
-2.165	23.2
-2.167	23.2
-2.170	23.2
-2.173	23.2
-2.175	23.2
-2.178	23.2
-2.181	23.2
-2.183	23.2
-2.186	23.2
-2.189	23.2
-2.191	23.2
-2.194	23.2
-2.197	23.2
-2.199	23.2
-2.202	23.2
-2.205	23.2
-2.207	23.2
-2.210	23.2
-2.213	23.2
-2.215	23.2
-2.218	23.2
-2.221	23.2
-2.223	23.2
-2.226	23.2
-2.229	23.2
-2.231	23.2
-2.234	23.2
-2.237	23.2
-2.240	23.2
-2.242	23.2
-2.245	23.2
-2.248	23.2
-2.250	23.2
-2.253	23.2
-2.256	23.2
-2.258	23.2
-2.261	23.2
-2.264	23.2
-2.266	23.2
-2.269	23.2
-2.272	23.2
-2.274	23.2
-2.277	23.2
-2.280	23.2
-2.282	23.2
-2.285	23.2
-2.288	23.2
-2.290	23.2
-2.293	23.2
-2.296	23.2
-2.298	23.2
-2.301	23.2
-2.304	23.2
-2.306	23.3
-2.309	23.3
-2.312	23.3
-2.314	23.3
-2.317	23.2
-2.320	23.2
-2.322	23.2
-2.325	23.2
-2.328	23.2
-2.330	23.2
-2.333	23.2
-2.336	23.2
-2.338	23.2
-2.341	23.2
-2.344	23.2
-2.346	23.2
-2.349	23.2
-2.352	23.2
-2.354	23.2
-2.357	23.2
-2.360	23.2
-2.362	23.2
-2.365	23.2
-2.368	23.2
-2.370	23.2
-2.373	23.2
-2.376	23.1
-2.378	23.2
-2.381	23.2
-2.384	23.1
-2.386	23.2
-2.389	23.1
-2.392	23.1
-2.394	23.1
-2.397	23.1
-2.400	23.1
-2.402	23.2
-2.405	23.2
-2.408	23.1
-2.410	23.1
-2.413	23.1
-2.416	23.1
-2.418	23.1
-2.421	23.2
-2.424	23.1
-2.426	23.1
-2.429	23.1
-2.432	23.1
-2.434	23.1
-2.437	23.1
-2.440	23.1
-2.442	23.1
-2.445	23.1
-2.448	23.1
-2.450	23.1
-2.453	23.0
-2.456	23.0
-2.458	23.0
-2.461	23.0
-2.464	23.0
-2.466	23.0
-2.469	22.9
-2.472	22.9
-2.474	22.9
-2.477	22.9
-2.480	22.9
-2.482	22.9
-2.485	22.9
-2.488	22.9
-2.490	22.9
-2.493	22.9
-2.496	22.9
-2.498	22.9
-2.501	22.9
-2.504	22.9
-2.506	22.9
-2.509	22.9
-2.512	22.9
-2.514	22.9
-2.517	22.9
-2.520	22.9
-2.522	22.9
-2.525	22.9
-2.528	22.9
-2.530	22.9
-2.533	22.9
-2.536	22.9
-2.538	22.9
-2.541	22.9
-2.544	22.9
-2.546	22.9
-2.549	22.9
-2.552	22.9
-2.554	22.9
-2.557	22.9
-2.560	22.9
-2.562	22.9
-2.565	22.9
-2.568	22.8
-2.570	22.9
-2.573	22.9
-2.576	22.9
-2.578	22.9
-2.581	22.9
-2.584	22.9
-2.586	22.9
-2.589	22.9
-2.592	22.9
-2.594	22.9
-2.597	22.9
-2.600	22.9
-2.602	22.9
-2.605	22.9
-2.608	22.9
-2.610	23.0
-2.613	23.0
-2.616	22.9
-2.619	22.9
-2.621	22.9
-2.624	22.9
-2.627	22.9
-2.629	22.9
-2.632	23.0
-2.635	23.0
-2.637	23.0
-2.640	23.0
-2.643	23.0
-2.645	23.0
-2.648	23.0
-2.651	23.0
-2.653	23.0
-2.656	23.0
-2.659	23.0
-2.661	23.0
-2.664	23.0
-2.667	23.0
-2.669	23.0
-2.672	23.0
-2.675	23.0
-2.677	23.0
-2.680	23.0
-2.683	23.0
-2.685	23.0
-2.688	23.0
-2.691	23.0
-2.693	23.0
-2.696	23.1
-2.699	23.0
-2.701	23.1
-2.704	23.1
-2.707	23.1
-2.709	23.1
-2.712	23.0
-2.715	23.1
-2.717	23.0
-2.720	23.0
-2.723	23.1
-2.725	23.1
-2.728	23.1
-2.731	23.1
-2.733	23.1
