a	I
-1.719	18.3
-1.721	18.3
-1.724	18.2
-1.727	18.2
-1.729	18.2
-1.732	18.1
-1.735	18.1
-1.737	18.1
-1.740	18.2
-1.743	18.1
-1.745	18.1
-1.748	18.1
-1.751	18.1
-1.753	18.1
-1.756	18.1
-1.759	18.1
-1.761	18.1
-1.764	18.1
-1.767	18.0
-1.769	18.0
-1.772	18.0
-1.775	18.0
-1.778	18.0
-1.780	18.0
-1.783	18.0
-1.786	18.0
-1.788	18.0
-1.791	18.0
-1.794	18.0
-1.796	18.0
-1.799	18.0
-1.802	18.0
-1.804	18.0
-1.807	18.0
-1.810	18.0
-1.812	18.0
-1.815	18.0
-1.818	18.0
-1.820	18.0
-1.823	18.0
-1.826	18.0
-1.828	18.0
-1.831	18.0
-1.834	18.0
-1.836	18.0
-1.839	18.0
-1.842	18.0
-1.844	17.9
-1.847	17.9
-1.850	18.0
-1.852	18.0
-1.855	18.0
-1.858	18.0
-1.860	18.0
-1.863	18.0
-1.866	17.9
-1.868	18.0
-1.871	17.9
-1.874	17.9
-1.876	17.9
-1.879	17.9
-1.882	17.9
-1.884	17.9
-1.887	17.9
-1.890	17.9
-1.892	17.9
-1.895	17.8
-1.898	17.8
-1.900	17.8
-1.903	17.8
-1.906	17.8
-1.908	17.9
-1.911	17.9
-1.914	17.8
-1.916	17.8
-1.919	17.8
-1.922	17.8
-1.924	17.8
-1.927	17.8
-1.930	17.8
-1.932	17.8
-1.935	17.8
-1.938	17.8
-1.940	17.8
-1.943	17.8
-1.946	17.8
-1.948	17.8
-1.951	17.8
-1.954	17.8
-1.956	17.7
-1.959	17.7
-1.962	17.7
-1.964	17.8
-1.967	17.7
-1.970	17.7
-1.972	17.7
-1.975	17.7
-1.978	17.7
-1.980	17.7
-1.983	17.7
-1.986	17.7
-1.989	17.7
-1.991	17.7
-1.994	17.7
-1.997	17.7
-1.999	17.7
-2.002	17.7
-2.005	17.7
-2.007	17.7
-2.010	17.7
-2.013	17.7
-2.015	17.7
-2.018	17.7
-2.021	17.7
-2.023	17.7
-2.026	17.7
-2.029	17.7
-2.031	17.7
-2.034	17.7
-2.037	17.7
-2.039	17.7
-2.042	17.7
-2.045	17.7
-2.047	17.7
-2.050	17.7
-2.053	17.7
-2.055	17.7
-2.058	17.7
-2.061	17.7
-2.063	17.7
-2.066	17.6
-2.069	17.6
-2.071	17.6
-2.074	17.6
-2.077	17.6
-2.079	17.6
-2.082	17.6
-2.085	17.6
-2.087	17.6
-2.090	17.6
-2.093	17.6
-2.095	17.6
-2.098	17.7
-2.101	17.6
-2.103	17.6
-2.106	17.6
-2.109	17.6
-2.111	17.6
-2.114	17.6
-2.117	17.6
-2.119	17.6
-2.122	17.6
-2.125	17.6
-2.127	17.6
-2.130	17.6
-2.133	17.6
-2.135	17.6
-2.138	17.6
-2.141	17.6
-2.143	17.6
-2.146	17.6
-2.149	17.5
-2.151	17.5
-2.154	17.5
-2.157	17.5
-2.159	17.5
-2.162	17.5
-2.165	17.5
-2.167	17.5
-2.170	17.5
-2.173	17.5
-2.175	17.5
-2.178	17.5
-2.181	17.5
-2.183	17.5
-2.186	17.5
-2.189	17.5
-2.191	17.5
-2.194	17.5
-2.197	17.5
-2.199	17.5
-2.202	17.5
-2.205	17.5
-2.207	17.5
-2.210	17.5
-2.213	17.5
-2.215	17.5
-2.218	17.4
-2.221	17.4
-2.223	17.4
-2.226	17.4
-2.229	17.4
-2.231	17.4
-2.234	17.4
-2.237	17.4
-2.240	17.4
-2.242	17.4
-2.245	17.4
-2.248	17.4
-2.250	17.4
-2.253	17.4
-2.256	17.4
-2.258	17.4
-2.261	17.4
-2.264	17.4
-2.266	17.4
-2.269	17.4
-2.272	17.4
-2.274	17.4
-2.277	17.4
-2.280	17.4
-2.282	17.4
-2.285	17.4
-2.288	17.4
-2.290	17.4
-2.293	17.4
-2.296	17.4
-2.298	17.4
-2.301	17.4
-2.304	17.4
-2.306	17.4
-2.309	17.4
-2.312	17.4
-2.314	17.4
-2.317	17.4
-2.320	17.3
-2.322	17.3
-2.325	17.3
-2.328	17.4
-2.330	17.3
-2.333	17.3
-2.336	17.3
-2.338	17.3
-2.341	17.2
-2.344	17.3
-2.346	17.2
-2.349	17.2
-2.352	17.2
-2.354	17.2
-2.357	17.2
-2.360	17.2
-2.362	17.1
-2.365	17.2
-2.368	17.2
-2.370	17.1
-2.373	17.1
-2.376	17.1
-2.378	17.1
-2.381	17.1
-2.384	17.1
-2.386	17.1
-2.389	17.1
-2.392	17.1
-2.394	17.1
-2.397	17.1
-2.400	17.1
-2.402	17.1
-2.405	17.1
-2.408	17.1
-2.410	17.0
-2.413	17.0
-2.416	17.0
-2.418	17.0
-2.421	17.0
-2.424	17.0
-2.426	17.0
-2.429	17.0
-2.432	17.0
-2.434	17.0
-2.437	17.0
-2.440	17.0
-2.442	17.0
-2.445	17.0
-2.448	17.0
-2.450	17.0
-2.453	16.9
-2.456	16.9
-2.458	16.9
-2.461	17.0
-2.464	16.9
-2.466	16.9
-2.469	16.9
-2.472	16.9
-2.474	16.8
-2.477	16.9
-2.480	16.8
-2.482	16.8
-2.485	16.8
-2.488	16.8
-2.490	16.8
-2.493	16.8
-2.496	16.8
-2.498	16.8
-2.501	16.8
-2.504	16.8
-2.506	16.8
-2.509	16.8
-2.512	16.8
-2.514	16.8
-2.517	16.8
-2.520	16.8
-2.522	16.8
-2.525	16.8
-2.528	16.8
-2.530	16.8
-2.533	16.8
-2.536	16.8
-2.538	16.8
-2.541	16.8
-2.544	16.8
-2.546	16.7
-2.549	16.7
-2.552	16.7
-2.554	16.7
-2.557	16.7
-2.560	16.7
-2.562	16.7
-2.565	16.7
-2.568	16.7
-2.570	16.7
-2.573	16.7
-2.576	16.7
-2.578	16.7
-2.581	16.7
-2.584	16.7
-2.586	16.7
-2.589	16.7
-2.592	16.7
-2.594	16.7
-2.597	16.7
-2.600	16.7
-2.602	16.7
-2.605	16.7
-2.608	16.7
-2.610	16.7
-2.613	16.7
-2.616	16.7
-2.619	16.7
-2.621	16.7
-2.624	16.6
-2.627	16.6
-2.629	16.7
-2.632	16.7
-2.635	16.7
-2.637	16.7
-2.640	16.7
-2.643	16.7
-2.645	16.6
-2.648	16.7
-2.651	16.7
-2.653	16.6
-2.656	16.6
-2.659	16.6
-2.661	16.6
-2.664	16.6
-2.667	16.6
-2.669	16.6
-2.672	16.6
-2.675	16.6
-2.677	16.6
-2.680	16.6
-2.683	16.6
-2.685	16.6
-2.688	16.6
-2.691	16.6
-2.693	16.6
-2.696	16.6
-2.699	16.6
-2.701	16.6
-2.704	16.6
-2.707	16.6
-2.709	16.6
-2.712	16.6
-2.715	16.6
-2.717	16.6
-2.720	16.6
-2.723	16.6
-2.725	16.6
-2.728	16.6
-2.731	16.6
-2.733	16.6
