a	I
1.671	20.3
1.668	20.3
1.665	20.3
1.663	20.3
1.660	20.3
1.657	20.3
1.655	20.3
1.652	20.3
1.649	20.3
1.647	20.3
1.644	20.3
1.641	20.3
1.639	20.3
1.636	20.3
1.633	20.3
1.631	20.3
1.628	20.3
1.625	20.3
1.623	20.3
1.620	20.3
1.617	20.3
1.615	20.3
1.612	20.3
1.609	20.4
1.607	20.4
1.604	20.4
1.601	20.4
1.599	20.3
1.596	20.3
1.593	20.4
1.591	20.4
1.588	20.4
1.585	20.4
1.582	20.4
1.580	20.4
1.577	20.4
1.574	20.4
1.572	20.4
1.569	20.4
1.566	20.4
1.564	20.4
1.561	20.3
1.558	20.3
1.556	20.4
1.553	20.4
1.550	20.4
1.548	20.4
1.545	20.4
1.542	20.4
1.540	20.4
1.537	20.4
1.534	20.4
1.532	20.4
1.529	20.4
1.526	20.4
1.524	20.4
1.521	20.4
1.518	20.4
1.516	20.4
1.513	20.4
1.510	20.4
1.508	20.4
1.505	20.4
1.502	20.4
1.500	20.4
1.497	20.4
1.494	20.4
1.492	20.4
1.489	20.4
1.486	20.4
1.484	20.4
1.481	20.4
1.478	20.4
1.476	20.4
1.473	20.4
1.470	20.4
1.468	20.4
1.465	20.4
1.462	20.4
1.460	20.4
1.457	20.4
1.454	20.4
1.452	20.4
1.449	20.4
1.446	20.4
1.444	20.4
1.441	20.4
1.438	20.4
1.436	20.4
1.433	20.3
1.430	20.4
1.428	20.3
1.425	20.3
1.422	20.3
1.419	20.3
1.417	20.3
1.414	20.3
1.411	20.3
1.409	20.3
1.406	20.3
1.403	20.4
1.401	20.4
1.398	20.4
1.395	20.4
1.393	20.4
1.390	20.4
1.387	20.4
1.385	20.4
1.382	20.4
1.379	20.4
1.377	20.4
1.374	20.4
1.371	20.4
1.369	20.4
1.366	20.4
1.363	20.4
1.361	20.4
1.358	20.4
1.355	20.4
1.353	20.4
1.350	20.4
1.347	20.4
1.345	20.4
1.342	20.4
1.339	20.4
1.337	20.4
1.334	20.4
1.331	20.4
1.329	20.4
1.326	20.3
1.323	20.3
1.321	20.3
1.318	20.3
1.315	20.3
1.313	20.3
1.310	20.3
1.307	20.4
1.305	20.3
1.302	20.3
1.299	20.3
1.297	20.4
1.294	20.4
1.291	20.4
1.289	20.4
1.286	20.3
1.283	20.3
1.281	20.4
1.278	20.4
1.275	20.3
1.273	20.3
1.270	20.4
1.267	20.3
1.265	20.3
1.262	20.3
1.259	20.4
1.256	20.3
1.254	20.4
1.251	20.3
1.248	20.3
1.246	20.4
1.243	20.4
1.240	20.3
1.238	20.3
1.235	20.3
1.232	20.3
1.230	20.3
1.227	20.3
1.224	20.3
1.222	20.3
1.219	20.3
1.216	20.3
1.214	20.3
1.211	20.4
1.208	20.3
1.206	20.3
1.203	20.3
1.200	20.3
1.198	20.3
1.195	20.3
1.192	20.3
1.190	20.3
1.187	20.3
1.184	20.4
1.182	20.4
1.179	20.4
1.176	20.4
1.174	20.4
1.171	20.4
1.168	20.4
1.166	20.4
1.163	20.4
1.160	20.4
1.158	20.4
1.155	20.4
1.152	20.4
1.150	20.4
1.147	20.4
1.144	20.4
1.142	20.4
1.139	20.4
1.136	20.4
1.134	20.4
1.131	20.4
1.128	20.4
1.126	20.4
1.123	20.4
1.120	20.4
1.118	20.4
1.115	20.4
1.112	20.4
1.109	20.4
1.107	20.4
1.104	20.4
1.101	20.4
1.099	20.4
1.096	20.4
1.093	20.4
1.091	20.4
1.088	20.4
1.085	20.4
1.083	20.4
1.080	20.4
1.077	20.4
1.075	20.4
1.072	20.4
1.069	20.4
1.067	20.4
1.064	20.4
1.061	20.4
1.059	20.4
1.056	20.4
1.053	20.4
1.051	20.4
1.048	20.4
1.045	20.4
1.043	20.4
1.040	20.4
1.037	20.4
1.035	20.4
1.032	20.4
1.029	20.4
1.027	20.4
1.024	20.4
1.021	20.4
1.019	20.4
1.016	20.4
1.013	20.5
1.011	20.4
1.008	20.4
1.005	20.4
1.003	20.4
1.000	20.4
0.997	20.4
0.995	20.4
0.992	20.4
0.989	20.4
0.987	20.4
0.984	20.4
0.981	20.4
0.979	20.4
0.976	20.5
0.973	20.4
0.970	20.5
0.968	20.5
0.965	20.5
0.962	20.4
0.960	20.5
0.957	20.5
0.954	20.5
0.952	20.5
0.949	20.5
0.946	20.5
0.944	20.4
0.941	20.4
0.938	20.4
0.936	20.4
0.933	20.4
0.930	20.4
0.928	20.4
0.925	20.4
0.922	20.4
0.920	20.4
0.917	20.4
0.914	20.4
0.912	20.4
0.909	20.4
0.906	20.4
0.904	20.4
0.901	20.4
0.898	20.4
0.896	20.4
0.893	20.4
0.890	20.4
0.888	20.4
0.885	20.4
0.882	20.4
0.880	20.4
0.877	20.4
0.874	20.4
0.872	20.4
0.869	20.4
0.866	20.4
0.864	20.4
0.861	20.4
0.858	20.4
0.856	20.4
0.853	20.4
0.850	20.4
0.848	20.4
0.845	20.4
0.842	20.4
0.840	20.4
0.837	20.4
0.834	20.4
0.831	20.4
0.829	20.4
0.826	20.4
0.823	20.4
0.821	20.5
0.818	20.4
0.815	20.4
0.813	20.5
0.810	20.5
0.807	20.5
0.805	20.5
0.802	20.5
0.799	20.5
0.797	20.5
0.794	20.5
0.791	20.5
0.789	20.5
0.786	20.5
0.783	20.5
0.781	20.5
0.778	20.5
0.775	20.5
0.773	20.5
0.770	20.5
0.767	20.5
0.765	20.5
0.762	20.5
0.759	20.5
0.757	20.5
0.754	20.5
0.751	20.5
0.749	20.5
0.746	20.5
0.743	20.5
0.741	20.5
0.738	20.5
0.735	20.5
0.733	20.5
0.730	20.6
0.727	20.6
0.725	20.6
0.722	20.6
0.719	20.6
0.717	20.6
0.714	20.6
0.711	20.6
0.709	20.6
0.706	20.5
0.703	20.5
0.701	20.5
0.698	20.5
0.695	20.5
0.692	20.6
0.690	20.5
0.687	20.5
0.684	20.5
0.682	20.5
0.679	20.5
0.676	20.5
0.674	20.5
0.671	20.5
0.668	20.5
0.666	20.5
0.663	20.5
0.660	20.5
0.658	20.5
0.655	20.5
0.652	20.6
0.650	20.6
0.647	20.6
0.644	20.6
0.642	20.6
0.639	20.6
0.636	20.6
0.634	20.6
0.631	20.6
0.628	20.6
0.626	20.6
0.623	20.6
0.620	20.6
0.618	20.6
0.615	20.6
0.612	20.6
0.610	20.6
0.607	20.6
0.604	20.6
0.602	20.6
0.599	20.6
0.596	20.6
0.594	20.6
0.591	20.6
0.588	20.6
0.586	20.7
0.583	20.6
0.580	20.6
0.578	20.7
0.575	20.7
0.572	20.6
0.570	20.6
0.567	20.6
0.564	20.6
0.561	20.6
0.559	20.6
0.556	20.6
0.553	20.6
0.551	20.6
0.548	20.6
0.545	20.6
0.543	20.6
0.540	20.6
0.537	20.6
0.535	20.6
