U_B / V	U_A / V	U_A1 / V
28.70	0.29	0.29
28.90	0.39	0.39
29.05	0.49	0.49
29.25	0.68	0.68
29.45	0.88	0.88
29.65	1.12	1.12
29.80	1.39	1.39
30.00	1.77	1.77
30.20	2.07	2.07
30.40	2.52	2.52
30.55	2.94	2.94
30.75	3.45	3.45
30.95	3.79	3.79
31.10	4.14	4.14
31.30	4.28	4.28
31.50	4.19	4.19
31.70	3.88	3.88
31.85	3.48	3.48
32.05	3.00	3.00
32.25	2.49	2.49
32.40	1.91	1.91
32.60	1.51	1.51
32.80	1.15	1.15
32.95	0.87	0.87
33.15	0.66	0.66
33.35	0.57	0.57
33.50	0.54	0.54
33.70	0.58	0.58
33.90	0.69	0.69
34.10	0.89	0.89
34.25	1.11	1.11
34.45	1.44	1.44
34.65	1.80	1.80
34.85	2.23	2.23
35.00	2.70	2.70
35.20	3.27	3.27
35.40	3.80	3.80
35.60	4.46	4.46
35.75	5.05	5.05
35.95	5.51	5.51
36.15	5.95	5.95
36.30	6.08	6.08
36.50	6.03	6.03
36.70	5.79	5.79
36.90	5.33	5.33
37.05	4.71	4.71
37.25	4.07	4.07
37.45	3.43	3.43
37.65	2.78	2.78
37.80	2.31	2.31
38.00	1.81	1.81
38.20	1.54	1.54
38.35	1.37	1.37
38.55	1.26	1.26
38.70	1.27	1.27
38.70	1.27	1.27
38.70	1.27	1.27
38.70	1.27	1.27
38.70	1.28	1.28
38.70	1.28	1.28
38.70	1.28	1.28
