5.3 Bestimmen der Wellenlaenge,,,,,,,,,,,,,,,,,,,,
von Punkt,bis Punkt,abstand/cm,abstand fehler,abstand lineal wand/cm,,n,y_0/cm,Delta y_0/cm,y_n/cm,Delta y_n/cm,x_0/cm,Delta x_0/cm,beta,gauß summand1,gauß summand2,delta beta,beta grad,Beta_0 grad,lambda,lambda näherung
"-0,0012166",,,,"-86,7187450",,1,"6,4","0,112",,,,,,,,,,,,
,,,,"0,0000000",,2,"7,2","0,150",,,,,,,,,,,,
,,,,"-95,6570998",,3,"7,9","0,180",,,,,,,,,,,,
,,,,"-121,6600000",,4,"8,5","0,206",,,,,,,,,,,,
,,,,"0,0000000",,5,"9,1","0,229",,,,,,,,,,,,
,,,,,,6,"9,6","0,250",,,,,,,,,,,,
,,,,,,7,"10,1","0,269",,,,,,,,,,,,
,,,,,,8,"10,5","0,287",,,,,,,,,,,,
,,,,,,9,11,"0,304",,,,,,,,,,,,
,,,,,,10,"11,35","0,320",,,,,,,,,,,,
,,,,,,11,"11,35","0,050",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"10,25854016",,"1,22577586687651E-07",,,,,,,,,,,,,,,,,,
"13,10013636",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
a,fehler a,,lambda,fehlr lambda,,,,,,,,,,,,,,,,
0.00111658,0.00004064,,"1116,58","40,6436515",,,,,,,,,,,,,,,,
