MIN=0	-10	-1000
25.399	6.945	431.5
25.5	6.965	432
25.6	6.96	432
25.7	7.045	435.5
25.8	7.08	436
25.9	7.13	437.5
25.999	7.14	438
26.1	7.28	442
26.199	7.235	440.5
26.3	7.245	441
26.4	7.28	442
26.5	7.3	442.5
26.6	7.325	443.5
26.7	7.33	443
26.8	7.37	444.5
26.9	7.36	444.5
27	7.355	444
27.1	7.355	444.5
27.2	7.4	445.5
27.3	7.42	446.5
27.399	7.42	446
27.5	7.43	446.5
27.6	7.5	448.5
27.7	7.485	448
27.8	7.48	448
27.9	7.49	448
28	7.49	448
28.1	7.49	448
28.2	7.49	448
28.3	7.49	447.5
28.4	7.485	448
28.5	7.525	448.5
28.6	7.53	448.5
28.7	7.52	448.5
28.8	7.52	448.5
28.899	7.515	448.5
29	7.52	448.5
29.1	7.535	449
29.2	7.54	449
29.3	7.555	450.5
29.4	7.625	452
29.5	7.725	454.5
29.6	7.735	454
29.7	7.73	454.5
29.8	7.815	456.5
29.9	7.805	456.5
30	7.81	456.5
30.1	7.81	456.5
30.2	7.81	456.5
30.3	7.975	461
30.4	7.94	460.5
30.5	7.935	460
30.6	7.93	460
30.7	7.94	460
30.8	7.945	460.5
30.9	7.92	459.5
31	7.92	459.5
31.1	7.925	460
31.2	7.92	460
31.3	8.04	462.5
31.4	8.04	462.5
31.5	8.025	462.5
31.6	8.015	462
31.7	8.015	462.5
31.8	8.02	462.5
31.9	8.015	461.5
32	8.08	464
32.1	8.095	464.5
32.2	8.1	464
32.3	8.11	464
32.4	8.145	465
32.5	8.135	465
32.6	8.135	464.5
32.7	8.13	464.5
32.8	8.235	467.5
32.9	8.23	467
33	8.23	467
33.1	8.26	467.5
33.2	8.315	469.5
33.3	8.295	469
33.4	8.3	469
33.5	8.3	468.5
33.6	8.385	471
33.7	8.36	470.5
33.8	8.355	470.5
33.9	8.355	470.5
34	8.36	470.5
34.1	8.36	470.5
34.2	8.36	470.5
34.3	8.36	470.5
34.4	8.365	470.5
34.5	8.365	470.5
34.6	8.52	474
34.7	8.49	473.5
34.8	8.51	474
34.9	8.525	474.5
35	8.67	477.5
35.1	8.625	477
35.2	8.625	477
35.3	8.625	476.5
35.401	8.625	477
35.5	8.625	477
35.6	8.625	476.5
35.7	8.63	477
35.8	8.63	477
35.9	8.625	477
36	8.625	476.5
36.1	8.625	476.5
36.202	8.63	477
36.3	8.63	477
36.4	8.63	477
36.5	8.635	477
36.6	8.635	477
36.7	8.635	477
36.8	8.635	477
36.9	8.635	477
37	8.635	477
37.1	8.635	477
37.2	8.635	477
37.3	8.635	477
37.4	8.635	477
37.5	8.635	477
37.6	8.635	477
37.7	8.635	477
37.8	8.64	477
37.9	8.635	477
38	8.64	477.5
38.1	8.64	477
38.2	8.64	477
38.3	8.64	477
38.4	8.64	477.5
38.5	8.64	477
38.6	8.64	477
38.7	8.64	477.5
38.8	8.635	477
38.899	8.66	477.5
39	8.835	482
39.1	9.11	487.5
39.2	9.195	489
