&a / °	I1 / %
5.459	7.5
5.454	7.5
5.449	7.5
5.443	7.5
5.438	7.5
5.433	7.5
5.428	7.4
5.422	7.4
5.417	7.4
5.412	7.4
5.406	7.4
5.401	7.4
5.396	7.4
5.390	7.4
5.385	7.6
5.380	7.6
5.375	7.6
5.369	7.6
5.364	7.8
5.359	7.8
5.353	7.8
5.348	7.7
5.343	7.7
5.337	7.6
5.332	7.6
5.327	7.5
5.322	7.5
5.316	7.5
5.311	7.6
5.306	7.7
5.300	7.8
5.295	7.8
5.290	7.8
5.284	7.8
5.279	7.8
5.274	7.7
5.269	7.7
5.263	7.7
5.258	7.6
5.253	7.6
5.247	7.6
5.242	7.6
5.237	7.6
5.231	7.8
5.226	7.9
5.221	7.9
5.216	7.9
5.210	7.9
5.205	7.8
5.200	7.8
5.194	7.7
5.189	7.6
5.184	7.5
5.178	7.5
5.173	7.5
5.168	7.5
5.162	7.6
5.157	7.6
5.152	7.6
5.147	7.5
5.141	7.5
5.136	7.5
5.131	7.5
5.125	7.6
5.120	7.8
5.115	7.7
5.109	7.7
5.104	7.8
5.099	7.8
5.094	8.2
5.088	8.5
5.083	8.9
5.078	9.0
5.072	9.0
5.067	9.0
5.062	8.8
5.056	8.7
5.051	8.5
5.046	8.3
5.040	8.2
5.035	8.2
5.030	8.2
5.025	8.2
5.019	8.3
5.014	8.7
5.009	9.2
5.003	9.7
4.998	9.9
4.993	9.9
4.987	9.5
4.982	9.1
4.977	8.8
4.971	8.5
4.966	8.4
4.961	8.4
4.956	8.4
4.950	8.4
4.945	8.7
4.940	9.2
4.934	10.0
4.929	10.9
4.924	11.6
4.918	11.8
4.913	11.3
4.908	10.7
4.902	10.0
4.897	9.6
4.892	9.3
4.887	9.2
4.881	9.1
4.876	9.1
4.871	9.2
4.865	9.6
4.860	10.4
4.855	11.7
4.849	13.2
4.844	13.8
4.839	13.5
4.833	12.7
4.828	11.9
4.823	10.9
4.818	10.2
4.812	9.8
4.807	9.6
4.802	9.6
4.796	9.6
4.791	9.8
4.786	10.3
4.780	11.9
4.775	13.6
4.770	15.5
4.764	16.5
4.759	16.0
4.754	14.6
4.748	13.1
4.743	11.9
4.738	10.9
4.733	10.2
4.727	10.0
4.722	9.8
4.717	9.8
4.711	10.2
4.706	10.8
4.701	12.2
4.695	14.7
4.690	17.6
4.685	19.4
4.679	18.9
4.674	17.2
4.669	14.9
4.663	13.1
4.658	12.0
4.653	11.1
4.648	10.6
4.642	10.3
4.637	10.2
4.632	10.6
4.626	11.2
4.621	12.8
4.616	15.4
4.610	19.2
4.605	22.1
4.600	22.6
4.594	20.6
4.589	17.9
4.584	15.4
4.578	13.6
4.573	12.4
4.568	11.5
4.563	11.0
4.557	11.0
4.552	11.0
4.547	11.3
4.541	12.5
4.536	14.9
4.531	18.6
4.525	23.0
4.520	25.8
4.515	25.1
4.509	22.1
4.504	18.7
4.499	15.8
4.493	13.8
4.488	12.4
4.483	11.6
4.478	11.1
4.472	11.0
4.467	11.2
4.462	12.0
4.456	13.5
4.451	16.4
4.446	20.8
