n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	2
17	2
18	8
19	6
20	6
21	8
22	5
23	9
24	14
25	10
26	9
27	14
28	11
29	7
30	14
31	9
32	12
33	11
34	20
35	16
36	12
37	12
38	21
39	19
40	15
41	26
42	23
43	26
44	23
45	28
46	19
47	26
48	29
49	25
50	26
51	29
52	30
53	30
54	36
55	46
56	30
57	29
58	36
59	37
60	28
61	34
62	35
63	35
64	39
65	44
66	35
67	36
68	45
69	33
70	28
71	55
72	35
73	41
74	42
75	36
76	49
77	38
78	35
79	42
80	48
81	53
82	35
83	43
84	43
85	55
86	43
87	44
88	51
89	53
90	46
91	53
92	63
93	60
94	45
95	48
96	56
97	48
98	50
99	37
100	57
101	55
102	49
103	62
104	41
105	62
106	53
107	63
108	47
109	39
110	52
111	46
112	59
113	57
114	36
115	43
116	51
117	46
118	37
119	32
120	39
121	39
122	36
123	46
124	40
125	32
126	44
127	50
128	36
129	39
130	41
131	37
132	38
133	36
134	37
135	31
136	28
137	30
138	30
139	23
140	27
141	39
142	30
143	32
144	31
145	23
146	20
147	26
148	25
149	27
150	26
151	26
152	18
153	19
154	16
155	31
156	25
157	22
158	31
159	18
160	19
161	23
162	20
163	24
164	9
165	21
166	18
167	16
168	21
169	15
170	13
171	26
172	18
173	14
174	16
175	20
176	19
177	15
178	15
179	13
180	10
181	8
182	4
183	12
184	17
185	10
186	13
187	10
188	12
189	17
190	9
191	18
192	14
193	9
194	9
195	7
196	5
197	7
198	6
199	6
200	7
201	4
202	8
203	10
204	7
205	11
206	5
207	8
208	7
209	7
210	9
211	7
212	5
213	5
214	9
215	10
216	7
217	7
218	6
219	11
220	6
221	2
222	7
223	5
224	8
225	7
226	8
227	5
228	1
229	5
230	4
231	5
232	3
233	3
234	7
235	4
236	3
237	2
238	4
239	4
240	5
241	5
242	1
243	6
244	2
245	3
246	6
247	2
248	3
249	1
250	1
251	0
252	4
253	5
254	1
255	1
256	1
257	2
258	3
259	3
260	5
261	2
262	1
263	4
264	3
265	3
266	0
267	4
268	2
269	2
270	5
271	4
272	9
273	5
274	4
275	2
276	3
277	4
278	7
279	6
280	1
281	3
282	5
283	4
284	0
285	2
286	3
287	5
288	3
289	4
290	1
291	3
292	0
293	3
294	1
295	2
296	2
297	1
298	1
299	5
300	4
301	0
302	0
303	1
304	2
305	1
306	2
307	2
308	1
309	1
310	1
311	2
312	2
313	2
314	1
315	1
316	1
317	1
318	2
319	1
320	0
321	0
322	3
323	1
324	1
325	1
326	0
327	0
328	3
329	3
330	2
331	4
332	2
333	4
334	2
335	0
336	2
337	2
338	0
339	0
340	2
341	2
342	1
343	1
344	1
345	1
346	0
347	0
348	2
349	2
350	0
351	4
352	1
353	1
354	0
355	0
356	0
357	1
358	0
359	1
360	0
361	1
362	1
363	0
364	1
365	0
366	0
367	0
368	1
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	1
379	0
380	0
381	1
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	1
418	0
419	1
420	0
421	2
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	1
437	0
438	1
439	1
440	2
441	0
442	0
443	0
444	0
445	0
446	1
447	0
448	0
449	1
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	1
464	0
465	0
466	1
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	1
475	0
476	0
477	2
478	3
479	1
480	2
481	0
482	2
483	1
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	1
494	1
495	0
496	2
497	2
498	1
499	1
500	0
501	0
502	0
503	0
504	0
505	0
506	1
507	0
508	0
509	1
510	0
511	0
