n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	37
16	72
17	93
18	143
19	143
20	145
21	124
22	126
23	113
24	119
25	116
26	117
27	109
28	112
29	106
30	102
31	103
32	96
33	112
34	99
35	120
36	122
37	104
38	125
39	104
40	119
41	148
42	135
43	141
44	159
45	160
46	164
47	188
48	184
49	194
50	175
51	202
52	216
53	217
54	227
55	236
56	265
57	229
58	250
59	307
60	289
61	303
62	305
63	317
64	341
65	350
66	380
67	406
68	408
69	452
70	391
71	494
72	480
73	474
74	453
75	522
76	539
77	538
78	588
79	586
80	592
81	603
82	613
83	644
84	579
85	634
86	653
87	680
88	667
89	717
90	717
91	663
92	768
93	762
94	733
95	763
96	790
97	807
98	748
99	765
100	717
101	813
102	720
103	726
104	750
105	796
106	742
107	703
108	770
109	758
110	743
111	763
112	723
113	752
114	656
115	698
116	688
117	655
118	677
119	652
120	665
121	672
122	633
123	668
124	642
125	600
126	628
127	608
128	572
129	545
130	517
131	547
132	530
133	516
134	526
135	539
136	528
137	482
138	477
139	441
140	442
141	481
142	441
143	460
144	459
145	398
146	386
147	447
148	380
149	386
150	332
151	343
152	392
153	353
154	340
155	363
156	355
157	353
158	328
159	304
160	329
161	288
162	261
163	278
164	274
165	280
166	278
167	234
168	279
169	250
170	243
171	263
172	246
173	229
174	231
175	222
176	222
177	221
178	211
179	205
180	220
181	186
182	210
183	203
184	205
185	161
186	163
187	198
188	174
189	173
190	177
191	171
192	166
193	182
194	150
195	130
196	135
197	149
198	171
199	150
200	140
201	163
202	130
203	124
204	131
205	123
206	128
207	136
208	145
209	125
210	121
211	125
212	119
213	95
214	104
215	113
216	106
217	91
218	129
219	105
220	99
221	100
222	122
223	97
224	114
225	115
226	100
227	73
228	94
229	84
230	76
231	82
232	83
233	79
234	86
235	65
236	62
237	77
238	76
239	84
240	78
241	63
242	81
243	62
244	74
245	63
246	76
247	66
248	71
249	65
250	73
251	55
252	64
253	72
254	62
255	46
256	58
257	60
258	52
259	56
260	60
261	49
262	40
263	50
264	54
265	44
266	62
267	49
268	57
269	48
270	53
271	43
272	58
273	40
274	52
275	36
276	52
277	39
278	53
279	41
280	52
281	36
282	38
283	33
284	36
285	51
286	34
287	35
288	37
289	37
290	37
291	47
292	34
293	39
294	40
295	44
296	36
297	40
298	34
299	39
300	33
301	27
302	32
303	34
304	30
305	16
306	22
307	26
308	36
309	23
310	25
311	16
312	22
313	31
314	27
315	27
316	26
317	33
318	17
319	26
320	23
321	21
322	29
323	26
324	25
325	19
326	22
327	18
328	25
329	9
330	18
331	28
332	23
333	16
334	22
335	24
336	19
337	20
338	23
339	18
340	16
341	21
342	14
343	20
344	21
345	13
346	21
347	14
348	21
349	17
350	18
351	21
352	13
353	17
354	21
355	19
356	16
357	13
358	19
359	19
360	19
361	15
362	13
363	15
364	11
365	17
366	22
367	9
368	17
369	7
370	7
371	17
372	12
373	11
374	15
375	10
376	9
377	12
378	14
379	12
380	9
381	7
382	11
383	10
384	15
385	11
386	7
387	13
388	11
389	10
390	11
391	7
392	11
393	8
394	6
395	14
396	15
397	9
398	11
399	9
400	13
401	3
402	6
403	7
404	6
405	15
406	7
407	7
408	5
409	9
410	7
411	3
412	10
413	10
414	7
415	8
416	8
417	7
418	9
419	11
420	8
421	7
422	7
423	4
424	8
425	6
426	6
427	2
428	6
429	7
430	6
431	9
432	9
433	8
434	7
435	11
436	9
437	3
438	3
439	5
440	8
441	7
442	7
443	11
444	2
445	8
446	10
447	11
448	3
449	3
450	3
451	3
452	5
453	6
454	10
455	7
456	6
457	3
458	2
459	7
460	8
461	3
462	8
463	3
464	4
465	5
466	5
467	2
468	2
469	3
470	7
471	8
472	3
473	4
474	3
475	7
476	2
477	2
478	6
479	6
480	4
481	6
482	1
483	3
484	7
485	4
486	5
487	1
488	2
489	2
490	2
491	6
492	3
493	2
494	5
495	7
496	1
497	1
498	1
499	5
500	3
501	4
502	4
503	0
504	3
505	1
506	3
507	3
508	3
509	3
510	3
511	30
